target_len,teacher_forcing_ratio,learning_rate,MAE_m,MSE_m2,RMSE_m,best_val_loss,model_path,per_step_MAE_m,per_step_RMSE_m
5,0.3,0.01,74700.171875,7263608320.0,85226.80517302053,0.3520427531329915,grid_models\seq2seq_tlen5_tfr0.3_lr0.01.pt,"76128.02,73717.01,74013.13,74556.68,75086.02","85046.27,84293.78,84943.78,85603.35,86234.28"
5,0.3,0.04,69129.2421875,6561015808.0,81000.09758018814,0.3076827005716041,grid_models\seq2seq_tlen5_tfr0.3_lr0.04.pt,"70166.00,67714.38,68650.07,69303.60,69812.13","83528.98,79575.41,79988.98,80635.74,81211.93"
5,0.3,0.06,70425.578125,6545360896.0,80903.40472439957,0.31897337082773447,grid_models\seq2seq_tlen5_tfr0.3_lr0.06.pt,"69357.87,69951.95,70440.05,70946.58,71431.43","79765.96,80355.30,80896.02,81459.30,82020.95"
5,0.3,0.08,67255.5390625,6379383808.0,79871.04486608398,0.30435351011692546,grid_models\seq2seq_tlen5_tfr0.3_lr0.08.pt,"66218.39,66744.71,67271.79,67780.40,68262.38","78752.53,79313.14,79867.09,80424.64,80978.44"
5,0.3,0.1,73704.6796875,7445662208.0,86288.25069498165,0.3606263587716967,grid_models\seq2seq_tlen5_tfr0.3_lr0.1.pt,"87864.20,69181.73,69821.00,70533.15,71123.31","96721.00,81642.52,83247.85,84139.29,84842.38"
5,0.4,0.01,68409.7421875,6506648576.0,80663.79966255,0.32303527084877715,grid_models\seq2seq_tlen5_tfr0.4_lr0.01.pt,"66026.51,67737.90,68803.67,69462.53,70018.12","78566.78,79870.07,80921.18,81633.67,82273.82"
5,0.4,0.04,67674.0078125,6375916032.0,79849.33332220126,0.3011318253411446,grid_models\seq2seq_tlen5_tfr0.4_lr0.04.pt,"66740.77,67121.66,67631.86,68193.03,68682.68","79331.15,79403.69,79601.66,80172.37,80728.99"
5,0.4,0.06,74959.8125,7266845696.0,85245.7957672987,0.3345044412999414,grid_models\seq2seq_tlen5_tfr0.4_lr0.06.pt,"75443.11,72951.41,74840.90,75540.62,76023.04","91254.63,82289.55,83508.94,84173.52,84713.20"
5,0.4,0.08,66891.84375,6342449152.0,79639.49492557069,0.30411020276369527,grid_models\seq2seq_tlen5_tfr0.4_lr0.08.pt,"65882.90,66381.49,66894.05,67406.41,67894.34","78529.91,79082.91,79627.98,80189.22,80748.15"
5,0.4,0.1,70482.0234375,6918967296.0,83180.3299825145,0.3339945043553598,grid_models\seq2seq_tlen5_tfr0.4_lr0.1.pt,"79398.63,67286.65,67937.68,68606.53,69180.61","89523.46,80080.38,81248.19,82027.39,82690.75"
5,0.5,0.01,74262.3671875,7192844800.0,84810.6408418189,0.34861046471633017,grid_models\seq2seq_tlen5_tfr0.5_lr0.01.pt,"74232.50,73552.95,73970.18,74517.00,75039.24","83880.12,84094.62,84719.85,85360.71,85979.87"
5,0.5,0.04,68993.921875,6523535872.0,80768.40887376698,0.30568577922531404,grid_models\seq2seq_tlen5_tfr0.5_lr0.04.pt,"69280.97,67869.52,68739.84,69299.11,69780.20","82643.62,79407.53,80021.51,80591.98,81139.66"
5,0.5,0.06,72523.171875,6977347584.0,83530.5188778329,0.3232880723080598,grid_models\seq2seq_tlen5_tfr0.5_lr0.06.pt,"74822.37,70285.79,71886.53,72563.68,73057.47","89869.27,80640.25,81653.05,82305.44,82861.31"
5,0.5,0.08,73352.1015625,7075211264.0,84114.27503105522,0.325060463626869,grid_models\seq2seq_tlen5_tfr0.5_lr0.08.pt,"74912.25,71349.73,72914.28,73555.48,74028.75","90283.84,81329.95,82300.93,82911.65,83441.81"
5,0.5,0.1,71908.734375,7222848000.0,84987.34023370774,0.347948576672934,grid_models\seq2seq_tlen5_tfr0.5_lr0.1.pt,"66435.64,79976.36,68855.45,71664.91,72611.30","78504.47,95298.30,81012.59,84038.59,85111.66"
5,0.6,0.01,74979.8515625,7282384384.0,85336.8875926466,0.3527682989370078,grid_models\seq2seq_tlen5_tfr0.6_lr0.01.pt,"74842.31,74284.87,74717.48,75266.30,75788.28","84333.23,84630.00,85265.40,85908.47,86528.24"
5,0.6,0.04,67495.53125,6352419328.0,79702.06602090062,0.30011106058373116,grid_models\seq2seq_tlen5_tfr0.6_lr0.04.pt,"66585.55,66963.09,67493.08,67984.71,68451.21","79094.67,79054.08,79581.70,80116.42,80651.66"
5,0.6,0.06,68744.4609375,6469763584.0,80434.84061027286,0.302554583089659,grid_models\seq2seq_tlen5_tfr0.6_lr0.06.pt,"67908.04,68066.19,68754.64,69265.45,69727.94","80818.66,79546.12,80069.98,80601.22,81128.42"
5,0.6,0.08,68996.875,6603297280.0,81260.67486798273,0.3254377384437248,grid_models\seq2seq_tlen5_tfr0.6_lr0.08.pt,"68650.98,67517.40,68934.89,69655.82,70225.30","80874.29,79824.88,81133.77,81895.47,82548.59"
5,0.6,0.1,80107.6875,8509507584.0,92246.99227617127,0.39721249730791897,grid_models\seq2seq_tlen5_tfr0.6_lr0.1.pt,"107590.45,69270.20,73521.99,74765.51,75390.30","121698.78,79966.59,83298.00,84512.74,85213.42"
5,0.7,0.01,75189.6953125,7307079168.0,85481.45511162055,0.35371495713479817,grid_models\seq2seq_tlen5_tfr0.7_lr0.01.pt,"75236.49,74467.48,74877.05,75422.83,75944.58","84582.12,84754.79,85382.59,86025.16,86645.09"
