Index,Lat,Long,Line
1,22.84101667,-78.72296667,North
2,22.62481667,-78.0874,North
3,22.3528,-77.63613333,North
4,22.18378333,-77.44235,North
1,22.77695,-78.78395,South
2,22.55308333,-78.13211667,South
3,22.2885,-77.68085,South
4,22.12445,-77.49385,South
1,22.80836667,-78.75143333,Middle
2,22.59083333,-78.11315,Middle
3,22.32128333,-77.65916667,Middle
4,22.15348333,-77.4681,Middle
