MMSI,LAT,LON,PERIOD,SPEED,COG,HEADING,voyage_id,TIME,dt,dlat,dlon,cog_rad,cog_sin,cog_cos,hdg_rad,hdg_sin,hdg_cos
205089000,22.547895,-78.09777,2023-09-27 14:10:00,12.9,121.1,121.0,20_205089000,2023-09-27 14:10:00,0.0,0.0,0.0,2.113593724165133,0.8562670846003282,-0.5165333288666418,2.111848394913139,0.8571673007021123,-0.5150380749100543
205089000,22.52383,-78.055422,2023-09-27 14:20:00,12.9,121.6,122.0,20_205089000,2023-09-27 14:20:00,600.0,-0.024065000000000225,0.04234800000000405,2.1223203704251046,0.8517269341430477,-0.523985905970079,2.129301687433082,0.8480480961564261,-0.5299192642332048
205089000,22.517936,-78.045039,2023-09-27 14:25:00,12.8,121.4,122.0,20_205089000,2023-09-27 14:25:00,300.0,-0.005894000000001398,0.010382999999990261,2.118829711921116,0.8535507972753275,-0.5210096318405764,2.129301687433082,0.8480480961564261,-0.5299192642332048
205089000,22.50793,-78.027377,2023-09-27 14:30:00,12.8,122.0,122.0,20_205089000,2023-09-27 14:30:00,300.0,-0.010005999999997073,0.0176620000000014,2.129301687433082,0.8480480961564261,-0.5299192642332048,2.129301687433082,0.8480480961564261,-0.5299192642332048
205089000,22.479852,-77.977003,2023-09-27 14:45:00,12.6,121.3,123.0,20_205089000,2023-09-27 14:45:00,900.0,-0.028078000000000713,0.050374000000005026,2.117084382669122,0.8544588301328073,-0.5195191118795095,2.1467549799530254,0.838670567945424,-0.5446390350150271
205670000,22.57409,-78.145092,2023-04-03 19:35:00,13.5,111.7,111.0,5_205670000,2023-04-03 19:35:00,0.0,0.0,0.0,1.9495327744776663,0.929132571534056,-0.36974675727382944,1.9373154697137058,0.9335804264972017,-0.35836794954530027
205670000,22.54912,-78.090817,2023-04-03 19:50:00,13.4,123.0,122.0,5_205670000,2023-04-03 19:50:00,900.0,-0.024970000000003267,0.05427500000000407,2.1467549799530254,0.838670567945424,-0.5446390350150271,2.129301687433082,0.8480480961564261,-0.5299192642332048
205670000,22.532218,-78.061797,2023-04-03 20:00:00,13.2,121.3,119.0,5_205670000,2023-04-03 20:00:00,600.0,-0.016901999999998196,0.02902000000000271,2.117084382669122,0.8544588301328073,-0.5195191118795095,2.076941809873252,0.8746197071393959,-0.484809620246337
205670000,22.528109,-78.054251,2023-04-03 20:05:00,13.2,120.0,119.0,5_205670000,2023-04-03 20:05:00,300.0,-0.004108999999999696,0.007546000000004938,2.0943951023931953,0.8660254037844387,-0.4999999999999998,2.076941809873252,0.8746197071393959,-0.484809620246337
205670000,22.513875,-78.028324,2023-04-03 20:10:00,13.3,120.9,121.0,5_205670000,2023-04-03 20:10:00,300.0,-0.014234000000001856,0.025926999999995815,2.1101030656611446,0.8580649057236445,-0.5135412520581703,2.111848394913139,0.8571673007021123,-0.5150380749100543
205670000,22.498136,-78.000092,2023-04-03 20:20:00,13.2,121.6,122.0,5_205670000,2023-04-03 20:20:00,600.0,-0.015738999999999947,0.0282320000000027,2.1223203704251046,0.8517269341430477,-0.523985905970079,2.129301687433082,0.8480480961564261,-0.5299192642332048
205670000,22.463546,-77.938999,2023-04-03 20:35:00,13.1,123.4,124.0,5_205670000,2023-04-03 20:35:00,900.0,-0.0345899999999979,0.06109299999999962,2.1537362969610028,0.8348478632634065,-0.5504807400849956,2.1642082724729685,0.8290375725550417,-0.5591929034707467
205681000,22.78395,-78.744802,2023-01-24 01:15:00,15.3,110.4,109.0,2_205681000,2023-01-24 01:15:00,0.0,0.0,0.0,1.9268434942017398,0.9372819894918916,-0.3485720473218152,1.9024088846738192,0.9455185755993168,-0.32556815445715664
205681000,22.778973,-78.730237,2023-01-24 01:20:00,15.3,110.3,109.0,2_205681000,2023-01-24 01:20:00,300.0,-0.004977000000000231,0.014565000000004602,1.9250981649497454,0.9378889346118977,-0.34693565157325573,1.9024088846738192,0.9455185755993168,-0.32556815445715664
205681000,22.771496,-78.70846,2023-01-24 01:25:00,15.3,110.6,110.0,2_205681000,2023-01-24 01:25:00,300.0,-0.00747700000000151,0.021777000000000157,1.9303341527057283,0.9360595357389734,-0.3518416484047016,1.9198621771937625,0.9396926207859084,-0.3420201433256687
205681000,22.763378,-78.684977,2023-01-24 01:30:00,15.3,110.3,110.0,2_205681000,2023-01-24 01:30:00,300.0,-0.008117999999999626,0.02348299999999881,1.9250981649497454,0.9378889346118977,-0.34693565157325573,1.9198621771937625,0.9396926207859084,-0.3420201433256687
205681000,22.752079,-78.652101,2023-01-24 01:35:00,15.3,110.5,110.0,2_205681000,2023-01-24 01:35:00,300.0,-0.011299000000001058,0.03287600000000168,1.928588823453734,0.9366721892483977,-0.3502073812594673,1.9198621771937625,0.9396926207859084,-0.3420201433256687
205681000,22.749181,-78.643702,2023-01-24 01:40:00,15.3,110.4,110.0,2_205681000,2023-01-24 01:40:00,300.0,-0.002897999999998291,0.008398999999997159,1.9268434942017398,0.9372819894918916,-0.3485720473218152,1.9198621771937625,0.9396926207859084,-0.3420201433256687
205681000,22.741461,-78.62144,2023-01-24 01:45:00,15.4,110.5,109.0,2_205681000,2023-01-24 01:45:00,300.0,-0.007719999999999061,0.022261999999997784,1.928588823453734,0.9366721892483977,-0.3502073812594673,1.9024088846738192,0.9455185755993168,-0.32556815445715664
205681000,22.733908,-78.59954,2023-01-24 01:50:00,15.4,110.5,109.0,2_205681000,2023-01-24 01:50:00,300.0,-0.007553000000001475,0.02190000000000225,1.928588823453734,0.9366721892483977,-0.3502073812594673,1.9024088846738192,0.9455185755993168,-0.32556815445715664
205681000,22.726045,-78.576692,2023-01-24 01:55:00,15.6,110.6,109.0,2_205681000,2023-01-24 01:55:00,300.0,-0.007863000000000397,0.022848000000010416,1.9303341527057283,0.9360595357389734,-0.3518416484047016,1.9024088846738192,0.9455185755993168,-0.32556815445715664
205681000,22.718341,-78.55413,2023-01-24 02:00:00,15.7,110.1,109.0,2_205681000,2023-01-24 02:00:00,300.0,-0.007704000000000377,0.02256199999999353,1.9216075064457567,0.9390942520947092,-0.34365969458561596,1.9024088846738192,0.9455185755993168,-0.32556815445715664
205681000,22.710751,-78.531994,2023-01-24 02:05:00,15.6,110.6,110.0,2_205681000,2023-01-24 02:05:00,300.0,-0.00759000000000043,0.022136000000003264,1.9303341527057283,0.9360595357389734,-0.3518416484047016,1.9198621771937625,0.9396926207859084,-0.3420201433256687
205681000,22.70361,-78.511192,2023-01-24 02:10:00,15.7,110.5,111.0,2_205681000,2023-01-24 02:10:00,300.0,-0.007140999999997177,0.020802000000003318,1.928588823453734,0.9366721892483977,-0.3502073812594673,1.9373154697137058,0.9335804264972017,-0.35836794954530027
205681000,22.69578,-78.488834,2023-01-24 02:15:00,15.4,110.6,111.0,2_205681000,2023-01-24 02:15:00,300.0,-0.007830000000002002,0.02235799999999699,1.9303341527057283,0.9360595357389734,-0.3518416484047016,1.9373154697137058,0.9335804264972017,-0.35836794954530027
205681000,22.688321,-78.467064,2023-01-24 02:20:00,15.3,110.6,111.0,2_205681000,2023-01-24 02:20:00,300.0,-0.007459000000000771,0.02177000000000362,1.9303341527057283,0.9360595357389734,-0.3518416484047016,1.9373154697137058,0.9335804264972017,-0.35836794954530027
205681000,22.680653,-78.444967,2023-01-24 02:25:00,15.3,110.4,110.0,2_205681000,2023-01-24 02:25:00,300.0,-0.007667999999998898,0.022096999999988043,1.9268434942017398,0.9372819894918916,-0.3485720473218152,1.9198621771937625,0.9396926207859084,-0.3420201433256687
205681000,22.673078,-78.422845,2023-01-24 02:30:00,15.3,110.4,110.0,2_205681000,2023-01-24 02:30:00,300.0,-0.007574999999999221,0.02212200000001019,1.9268434942017398,0.9372819894918916,-0.3485720473218152,1.9198621771937625,0.9396926207859084,-0.3420201433256687
205681000,22.666031,-78.402505,2023-01-24 02:35:00,15.3,110.3,110.0,2_205681000,2023-01-24 02:35:00,300.0,-0.0070470000000000255,0.020339999999990255,1.9250981649497454,0.9378889346118977,-0.34693565157325573,1.9198621771937625,0.9396926207859084,-0.3420201433256687
205681000,22.658276,-78.379965,2023-01-24 02:40:00,15.3,110.4,110.0,2_205681000,2023-01-24 02:40:00,300.0,-0.007754999999999512,0.022540000000006444,1.9268434942017398,0.9372819894918916,-0.3485720473218152,1.9198621771937625,0.9396926207859084,-0.3420201433256687
205681000,22.65065,-78.35784,2023-01-24 02:45:00,15.3,110.7,110.0,2_205681000,2023-01-24 02:45:00,300.0,-0.007626000000001909,0.022125000000002615,1.932079481957723,0.9354440308298673,-0.3534748437792572,1.9198621771937625,0.9396926207859084,-0.3420201433256687
205681000,22.643183,-78.336132,2023-01-24 02:50:00,15.3,110.2,109.0,2_205681000,2023-01-24 02:50:00,300.0,-0.007466999999998336,0.021707999999989624,1.9233528356977512,0.9384930227595559,-0.34529819899853464,1.9024088846738192,0.9455185755993168,-0.32556815445715664
205681000,22.633624,-78.308414,2023-01-24 02:55:00,15.3,110.2,109.0,2_205681000,2023-01-24 02:55:00,300.0,-0.009558999999999429,0.027718000000007237,1.9233528356977512,0.9384930227595559,-0.34529819899853464,1.9024088846738192,0.9455185755993168,-0.32556815445715664
205681000,22.628415,-78.293382,2023-01-24 03:00:00,15.3,110.6,109.0,2_205681000,2023-01-24 03:00:00,300.0,-0.005209000000000685,0.015032000000005041,1.9303341527057283,0.9360595357389734,-0.3518416484047016,1.9024088846738192,0.9455185755993168,-0.32556815445715664
205681000,22.620591,-78.270722,2023-01-24 03:05:00,15.2,110.2,109.0,2_205681000,2023-01-24 03:05:00,300.0,-0.007823999999999387,0.02265999999998769,1.9233528356977512,0.9384930227595559,-0.34529819899853464,1.9024088846738192,0.9455185755993168,-0.32556815445715664
205681000,22.610572,-78.241563,2023-01-24 03:10:00,15.2,110.4,109.0,2_205681000,2023-01-24 03:10:00,300.0,-0.010018999999999778,0.02915900000000704,1.9268434942017398,0.9372819894918916,-0.3485720473218152,1.9024088846738192,0.9455185755993168,-0.32556815445715664
205681000,22.604548,-78.224107,2023-01-24 03:15:00,15.2,110.4,109.0,2_205681000,2023-01-24 03:15:00,300.0,-0.006024000000000029,0.017455999999995697,1.9268434942017398,0.9372819894918916,-0.3485720473218152,1.9024088846738192,0.9455185755993168,-0.32556815445715664
205681000,22.598325,-78.206079,2023-01-24 03:20:00,15.2,110.4,109.0,2_205681000,2023-01-24 03:20:00,300.0,-0.006223000000002088,0.018028000000001043,1.9268434942017398,0.9372819894918916,-0.3485720473218152,1.9024088846738192,0.9455185755993168,-0.32556815445715664
205681000,22.5909,-78.184649,2023-01-24 03:25:00,15.1,110.2,109.0,2_205681000,2023-01-24 03:25:00,300.0,-0.0074249999999977945,0.021430000000009386,1.9233528356977512,0.9384930227595559,-0.34529819899853464,1.9024088846738192,0.9455185755993168,-0.32556815445715664
205681000,22.583638,-78.16323,2023-01-24 03:30:00,15.1,110.6,109.0,2_205681000,2023-01-24 03:30:00,300.0,-0.007262000000000768,0.021418999999994526,1.9303341527057283,0.9360595357389734,-0.3518416484047016,1.9024088846738192,0.9455185755993168,-0.32556815445715664
205681000,22.576653,-78.143134,2023-01-24 03:35:00,15.1,110.7,109.0,2_205681000,2023-01-24 03:35:00,300.0,-0.006985000000000241,0.02009599999999523,1.932079481957723,0.9354440308298673,-0.3534748437792572,1.9024088846738192,0.9455185755993168,-0.32556815445715664
205681000,22.569153,-78.12141,2023-01-24 03:40:00,15.1,112.0,116.0,2_205681000,2023-01-24 03:40:00,300.0,-0.007500000000000284,0.021724000000006072,1.9547687622336491,0.9271838545667874,-0.37460659341591207,2.0245819323134224,0.8987940462991669,-0.4383711467890775
205681000,22.557543,-78.101442,2023-01-24 03:45:00,15.1,122.8,121.0,2_205681000,2023-01-24 03:45:00,300.0,-0.011610000000001008,0.019967999999991548,2.1432643214490366,0.8405666034956844,-0.5417082102827397,2.111848394913139,0.8571673007021123,-0.5150380749100543
