Index,Lat,Long,Line
1,22.98685,-78.6578,North
2,22.71206667,-78.079283333,North
3,22.370733333,-77.63613333,North
4,22.22315,-77.39853333,North
1,22.711716667,-78.80065,South
2,22.51013333,-78.147116667,South
3,22.24763333,-77.715033333,South
4,22.06965,-77.55653333,South
1,22.80836667,-78.75143333,Middle
2,22.59083333,-78.11315,Middle
3,22.32128333,-77.65916667,Middle
4,22.15348333,-77.4681,Middle
