MMSI,LAT,LON,PERIOD,SPEED,COG,HEADING,voyage_id,TIME,dt,dlat,dlon,cog_rad,cog_sin,cog_cos,hdg_rad,hdg_sin,hdg_cos,num_pings
205089000,22.547895,-78.09777,2023-09-27 14:10:00,12.9,121.1,121.0,20_205089000,2023-09-27 14:10:00,0.0,0.0,0.0,2.113593724165133,0.8562670846003282,-0.5165333288666418,2.111848394913139,0.8571673007021123,-0.5150380749100543,5
205089000,22.52383,-78.055422,2023-09-27 14:20:00,12.9,121.6,122.0,20_205089000,2023-09-27 14:20:00,600.0,-0.0240650000000002,0.042348000000004,2.122320370425105,0.8517269341430477,-0.523985905970079,2.129301687433082,0.8480480961564261,-0.5299192642332048,5
205089000,22.517936,-78.045039,2023-09-27 14:25:00,12.8,121.4,122.0,20_205089000,2023-09-27 14:25:00,300.0,-0.0058940000000013,0.0103829999999902,2.118829711921116,0.8535507972753275,-0.5210096318405764,2.129301687433082,0.8480480961564261,-0.5299192642332048,5
205089000,22.50793,-78.027377,2023-09-27 14:30:00,12.8,122.0,122.0,20_205089000,2023-09-27 14:30:00,300.0,-0.010005999999997,0.0176620000000014,2.129301687433082,0.8480480961564261,-0.5299192642332048,2.129301687433082,0.8480480961564261,-0.5299192642332048,5
205089000,22.479852,-77.977003,2023-09-27 14:45:00,12.6,121.3,123.0,20_205089000,2023-09-27 14:45:00,900.0,-0.0280780000000007,0.050374000000005,2.117084382669122,0.8544588301328073,-0.5195191118795095,2.146754979953025,0.838670567945424,-0.5446390350150271,5
205670000,22.57409,-78.145092,2023-04-03 19:35:00,13.5,111.7,111.0,5_205670000,2023-04-03 19:35:00,0.0,0.0,0.0,1.9495327744776665,0.929132571534056,-0.3697467572738294,1.9373154697137056,0.9335804264972016,-0.3583679495453002,7
205670000,22.54912,-78.090817,2023-04-03 19:50:00,13.4,123.0,122.0,5_205670000,2023-04-03 19:50:00,900.0,-0.0249700000000032,0.054275000000004,2.146754979953025,0.838670567945424,-0.5446390350150271,2.129301687433082,0.8480480961564261,-0.5299192642332048,7
205670000,22.532218,-78.061797,2023-04-03 20:00:00,13.2,121.3,119.0,5_205670000,2023-04-03 20:00:00,600.0,-0.0169019999999981,0.0290200000000027,2.117084382669122,0.8544588301328073,-0.5195191118795095,2.076941809873252,0.8746197071393959,-0.484809620246337,7
205670000,22.528109,-78.054251,2023-04-03 20:05:00,13.2,120.0,119.0,5_205670000,2023-04-03 20:05:00,300.0,-0.0041089999999996,0.0075460000000049,2.0943951023931957,0.8660254037844387,-0.4999999999999998,2.076941809873252,0.8746197071393959,-0.484809620246337,7
205670000,22.513875,-78.028324,2023-04-03 20:10:00,13.3,120.9,121.0,5_205670000,2023-04-03 20:10:00,300.0,-0.0142340000000018,0.0259269999999958,2.1101030656611446,0.8580649057236445,-0.5135412520581703,2.111848394913139,0.8571673007021123,-0.5150380749100543,7
